,Symbol,Company Name
152,CROMPTON,Crompton Greaves Consumer Electricals Limited
153,M&MFIN,Mahindra & Mahindra Financial Services Limited
154,NHPC,NHPC Limited
155,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
156,IPCALAB,IPCA Laboratories Limited
157,L&TFH,L&T Finance Holdings Limited
158,RAMCOCEM,The Ramco Cements Limited
159,INDIAMART,Indiamart Intermesh Limited
160,TIINDIA,Tube Investments of India Limited
161,AARTIIND,Aarti Industries Limited
162,COROMANDEL,Coromandel International Limited
163,DEEPAKNTR,Deepak Nitrite Limited
164,LALPATHLAB,Dr. Lal Path Labs Ltd.
165,JKCEMENT,JK Cement Limited
166,BANKINDIA,Bank of India
167,UNIONBANK,Union Bank of India
168,RELAXO,Relaxo Footwears Limited
169,SYNGENE,Syngene International Limited
170,LICHSGFIN,LIC Housing Finance Limited
171,EMAMILTD,Emami Limited
172,DIXON,Dixon Technologies (India) Limited
173,ATUL,Atul Limited
174,OBEROIRLTY,Oberoi Realty Limited
175,NAM-INDIA,Nippon Life India Asset Management Limited
176,PFIZER,Pfizer Limited
177,POLYCAB,Polycab India Limited
178,ENDURANCE,Endurance Technologies Limited
179,TORNTPOWER,Torrent Power Limited
180,MAXHEALTH,Max Healthcare Institute Limited
181,ZEEL,Zee Entertainment Enterprises Limited
182,LAURUSLABS,Laurus Labs Limited
183,AIAENG,AIA Engineering Limited
184,GILLETTE,Gillette India Limited
185,TATACHEM,Tata Chemicals Limited
186,AAVAS,Aavas Financiers Limited
187,RUCHI,Ruchi Soya Industries Limited
188,APLLTD,Alembic Pharmaceuticals Limited
189,SUNTV,Sun TV Network Limited
190,GODREJIND,Godrej Industries Limited
191,SANOFI,Sanofi India Limited
192,BATAINDIA,Bata India Limited
193,COFORGE,Coforge Limited
194,APLAPOLLO,APL Apollo Tubes Limited
195,ESCORTS,Escorts Limited
196,ABFRL,Aditya Birla Fashion and Retail Limited
197,SCHAEFFLER,Schaeffler India Limited
198,BHEL,Bharat Heavy Electricals Limited
199,SUNDRMFAST,Sundram Fasteners Limited
200,TATAELXSI,Tata Elxsi Limited
201,THERMAX,Thermax Limited
202,HATSUN,Hatsun Agro Product Limited
203,EXIDEIND,Exide Industries Limited
204,AJANTPHARM,Ajanta Pharma Limited
205,GSPL,Gujarat State Petronet Limited
206,LINDEINDIA,Linde India Limited
207,FEDERALBNK,The Federal Bank  Limited
208,NATCOPHARM,Natco Pharma Limited
209,FORTIS,Fortis Healthcare Limited
210,KAJARIACER,Kajaria Ceramics Limited
211,MINDAIND,Minda Industries Limited
212,PERSISTENT,Persistent Systems Limited
213,GMRINFRA,GMR Infrastructure Limited
214,AMARAJABAT,Amara Raja Batteries Limited
215,SUMICHEM,Sumitomo Chemical India Limited
216,JSWENERGY,JSW Energy Limited
217,VINATIORGA,Vinati Organics Limited
218,APOLLOTYRE,Apollo Tyres Limited
219,RAJESHEXPO,Rajesh Exports Limited
220,AFFLE,Affle (India) Limited
221,MAHABANK,Bank of Maharashtra
222,NAVINFLUOR,Navin Fluorine International Limited
223,PHOENIXLTD,The Phoenix Mills Limited
224,CRISIL,CRISIL Limited
225,OIL,Oil India Limited
226,BLUEDART,Blue Dart Express Limited
227,INDHOTEL,The Indian Hotels Company Limited
228,GLENMARK,Glenmark Pharmaceuticals Limited
229,INDIANB,Indian Bank
230,SUVENPHAR,Suven Pharmaceuticals Limited
231,MANAPPURAM,Manappuram Finance Limited
232,ZYDUSWELL,Zydus Wellness Limited
233,VAIBHAVGBL,Vaibhav Global Limited
234,WABCOINDIA,WABCO India Limited
235,RBLBANK,RBL Bank Limited
236,CASTROLIND,Castrol India Limited
237,ISEC,ICICI Securities Limited
238,PRESTIGE,Prestige Estates Projects Limited
239,ALKYLAMINE,Alkyl Amines Chemicals Limited
240,SOLARINDS,Solar Industries India Limited
241,MGL,Mahanagar Gas Limited
242,CUB,City Union Bank Limited
243,METROPOLIS,Metropolis Healthcare Limited
244,INDIGOPNTS,Indigo Paints Limited
245,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
246,BAJAJELEC,Bajaj Electricals Limited
247,AMBER,Amber Enterprises India Limited
248,SKFINDIA,SKF India Limited
249,TANLA,Tanla Platforms Limited
250,HINDCOPPER,Hindustan Copper Limited
251,UCOBANK,UCO Bank
252,IIFLWAM,Iifl Wealth Management Limited
253,JUBLPHARMA,Jubilant Pharmova Limited
254,VGUARD,V-Guard Industries Limited
255,ITI,ITI Limited
256,IIFL,IIFL Finance Limited
257,KEC,KEC International Limited
258,GRINDWELL,Grindwell Norton Limited
259,AEGISCHEM,Aegis Logistics Limited
260,AKZOINDIA,Akzo Nobel India Limited
261,CREDITACC,CREDITACCESS GRAMEEN LIMITED
262,QUESS,Quess Corp Limited
263,PGHL,Procter & Gamble Health Limited
264,SJVN,SJVN Limited
265,NATIONALUM,National Aluminium Company Limited
266,GODREJAGRO,Godrej Agrovet Limited
267,TTKPRESTIG,TTK Prestige Limited
268,ALOKINDS,Alok Industries Limited
269,GRAPHITE,Graphite India Limited
270,IEX,Indian Energy Exchange Limited
271,INTELLECT,Intellect Design Arena Limited
272,ORCHPHARMA,Orchid Pharma Limited
273,TIMKEN,Timken India Limited
274,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
275,CARBORUNIV,Carborundum Universal Limited
276,SFL,Sheela Foam Limited
277,CENTRALBK,Central Bank of India
278,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
279,MOTILALOFS,Motilal Oswal Financial Services Limited
280,IBULHSGFIN,Indiabulls Housing Finance Limited
281,GALAXYSURF,Galaxy Surfactants Limited
282,SHRIRAMCIT,Shriram City Union Finance Limited
283,BLUESTARCO,Blue Star Limited
284,BASF,BASF India Limited
285,CGPOWER,CG Power and Industrial Solutions Limited
286,RATNAMANI,Ratnamani Metals & Tubes Limited
287,DHANI,Dhani Services Limited
288,SYMPHONY,Symphony Limited
289,HUDCO,Housing & Urban Development Corporation Limited
290,KIOCL,KIOCL Limited
291,NBCC,NBCC (India) Limited
292,NH,Narayana Hrudayalaya Ltd.
293,ERIS,Eris Lifesciences Limited
294,CANFINHOME,Can Fin Homes Limited
295,ROUTE,ROUTE MOBILE LIMITED
296,WELSPUNIND,Welspun India Limited
297,JMFINANCIL,JM Financial Limited
298,DBL,Dilip Buildcon Limited
299,HAPPSTMNDS,Happiest Minds Technologies Limited
300,FSL,Firstsource Solutions Limited
301,FINPIPE,Finolex Industries Limited
302,POLYMED,Poly Medicure Limited
303,CESC,CESC Limited
304,DCMSHRIRAM,DCM Shriram Limited
305,BBTC,Bombay Burmah Trading Corporation Limited
306,STLTECH,Sterlite Technologies Limited
307,STAR,Strides Pharma Science Limited
308,IDFC,IDFC Limited
309,ASAHIINDIA,Asahi India Glass Limited
310,ASTRAZEN,AstraZeneca Pharma India Limited
311,GRANULES,Granules India Limited
312,RADICO,Radico Khaitan Limited
313,VTL,Vardhman Textiles Limited
314,EPL,EPL Limited
315,PVR,PVR Limited
316,REDINGTON,Redington (India) Limited
317,UTIAMC,UTI Asset Management Company Limited
318,KPRMILL,K.P.R. Mill Limited
319,BIRLACORPN,Birla Corporation Limited
320,LAXMIMACH,Lakshmi Machine Works Limited
321,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
322,TRIDENT,Trident Limited
323,CYIENT,Cyient Limited
324,CENTURYPLY,Century Plyboards (India) Limited
325,BSOFT,BIRLASOFT LIMITED
326,KALYANKJIL,Kalyan Jewellers India Limited
327,FINEORG,Fine Organic Industries Limited
328,NLCINDIA,NLC India Limited
329,ASTERDM,Aster DM Healthcare Limited
330,EQUITASBNK,Equitas Small Finance Bank Limited
331,CDSL,Central Depository Services (India) Limited
332,MRPL,Mangalore Refinery and Petrochemicals Limited
333,CGCL,Capri Global Capital Limited
334,PNCINFRA,PNC Infratech Limited
